f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[64 29],[38 62],90,78,[16 70],[34 54],[[102  36  28  98]; [ 22  18   2  96]],[[ 56  78 100  48]; [ 44  80  68  28]],[ 2 38 88  0],[ 6 54 78 16]
[37 42],[44  8],52,46,[65  0],[14 52],[[64  2  4 54]; [ 2 72 10 86]],[[20 60 76 78]; [58 10 46 96]],[72 14 96 34],[12 56 42 82]
[90 16],[84 12],36,52,[83 36],[ 83 104],[[94 22 84 54]; [48 90 78 52]],[[ 60  82  84 104]; [ 74 100  64  84]],[72 16 94 36],[32 66 10 52]
[54  8],[ 3 11],28,40,[32 76],[98 52],[[ 10  28  46  32]; [ 98 104   8  56]],[[ 22  50  14  26]; [  4  92 100  20]],[102  16 102  28],[92 80 74 18]
[102  55],[34 39],2,66,[71 38],[62 74],[[38 22 48 48]; [84 74 32 46]],[[ 86  48   4 102]; [ 92  40  68   6]],[ 4 58 90 76],[64 82 42 76]
[101  19],[16 82],38,6,[18 14],[49 95],[[ 0 36 28 96]; [46 80 28 78]],[[32 80 94 32]; [36 32 34 88]],[14  0 96 20],[30 36 10 70]
[34 61],[82 26],6,28,[47 74],[91  1],[[ 10 104   8  44]; [ 36  24  18  34]],[[ 70 104  14   2]; [ 66  66  20  30]],[60 86 78 30],[ 42  96 100  22]
[61 46],[46 73],78,56,[57  2],[23 48],[[38 16 28 54]; [56 30 22 72]],[[34 38 84 32]; [18 72 78 96]],[26 98 78 50],[36 94 18 46]
[93  0],[77  4],24,100,[81  8],[ 3 77],[[54 72 84  6]; [52 96 96 16]],[[18 66  2 50]; [76 58 10 16]],[ 66   8 102  18],[74 10 10 90]
[93 24],[85 86],98,36,[ 8 53],[77 95],[[102  62  22   0]; [ 88  90  84  32]],[[96 80 74 66]; [18  6 26 36]],[74 82 88 44],[40 34 84 82]
[68 60],[63 23],86,72,[83 99],[79 95],[[48 58 52 30]; [48 62 14 10]],[[ 42   2 102  56]; [ 10  70  60  74]],[46 56 38 88],[ 2 80 88 88]
[49 84],[16 80],70,80,[ 11 102],[92 85],[[94 84  6 52]; [66 64 90 20]],[[ 24 104  46  32]; [ 98  32  54  28]],[92 46 40 50],[102   8  34  48]
[102  43],[ 9 25],40,48,[79 10],[82  0],[[60  0 18 12]; [ 2 20 44 60]],[[84 50 28 64]; [ 2 86 26 12]],[104  52  22  18],[64 66 54 20]
[  0 100],[13 45],32,10,[ 27 101],[13 84],[[16 88 20 42]; [72 48 84  6]],[[18 66 42 30]; [34 44 88 80]],[30 56 32 46],[32 10  0  8]
[ 42 102],[99 20],40,26,[91 60],[70 23],[[60 98 46 54]; [24 52 16 88]],[[ 76  44  12  26]; [ 72  14 104  46]],[98 92 54 40],[16 68 18 22]
[47 15],[51 82],102,22,[76 65],[63 23],[[12 50 30 68]; [88 66  2 70]],[[ 84  28  66  62]; [ 68  68 102  50]],[32 98 30 20],[96  4 64 36]
[26 15],[87 20],62,48,[101  25],[31 64],[[ 88  96  58  26]; [ 70 102  10  40]],[[104  46  76  62]; [ 78  88  60  74]],[84 18 28 20],[100   2  52  86]
[24 14],[29 10],92,38,[11 82],[6 8],[[10 12 36 80]; [66 70 78  0]],[[82 88 70  4]; [36 62 86 46]],[62 74 16 40],[82 32 18 92]
[84 24],[83 93],66,48,[92 68],[12 78],[[72 56 76 62]; [56 86 22 56]],[[10  8 16 96]; [34 50 94  4]],[62 12 22 10],[96 24 98 24]
[ 1 96],[28 33],12,84,[51 96],[10 66],[[20 58 40 84]; [74 72 40 52]],[[46 36 12 46]; [54 98 28 58]],[28 30 48 36],[24 18  4 68]
[54 62],[35 12],44,26,[ 19 101],[66 30],[[ 26  34  28  66]; [ 26  78 102  48]],[[16 68 10 16]; [18  4 74 64]],[60 80 88 56],[ 52 100  52  98]
[ 86 103],[31 66],8,86,[92  5],[43 61],[[82 40 10 72]; [40 40 48 54]],[[20 44 62 32]; [ 4 12 26 22]],[48 58 96 88],[92 52 66 72]
[ 64 101],[ 34 100],48,6,[21 26],[67 61],[[12 34 22 68]; [72 48 40 50]],[[66 24  8 56]; [80 44 20  4]],[34 52 22 70],[16 14 18 22]
[89 63],[37 72],26,22,[ 9 31],[51 50],[[26 50 76 92]; [68 92  0 38]],[[70 42 62 14]; [12  8 14 22]],[100  76  58  42],[ 52  62  88 100]
[74 21],[52 15],8,50,[65 62],[27 52],[[82 90 10 36]; [90  4  4  8]],[[ 42 102  56  72]; [ 48  50  72 104]],[90 94 56 96],[82 42 34 44]
[23 60],[20  7],68,48,[100  16],[ 1 58],[[ 68  28  78 104]; [ 22   2  72  36]],[[14 48 40 50]; [10 68 42 36]],[ 4 68 82 90],[76 36 84 90]
[58 21],[35 50],22,20,[22 74],[4 4],[[ 54  56  82 102]; [ 84   4  32  42]],[[ 94 102  16  86]; [ 46   4  84  74]],[ 28 102  96  36],[70 48 70 58]
[13 12],[81 53],28,20,[41 99],[25 99],[[56  2 38 10]; [ 2 68 50 88]],[[ 22  92  72 100]; [ 12  36  92  92]],[46 42 24 44],[56 24 26 26]
[17  7],[95 57],2,12,[79  4],[92 38],[[48 42 36 74]; [82 22  2 12]],[[ 94  70  24  76]; [102  76   2  64]],[26 50 88 88],[102  76  96  72]
[103  34],[28 44],62,36,[94 78],[87 28],[[64  6 48 14]; [40  6 82 76]],[[88 32 32 80]; [48 34 68  4]],[78  8  4 10],[ 12  66  78 102]
[19 67],[20 65],36,62,[32 90],[88 83],[[ 62 100   4  12]; [ 56  36  38  88]],[[ 86  90  26  82]; [ 64 104  64  26]],[48 70 94 56],[18 30 66  6]
[34 84],[47  5],100,92,[72  5],[17 56],[[98 12 60 12]; [84 94 92 86]],[[36 48 22  4]; [54 90 78 96]],[ 30 100 100  64],[ 4 54 92 42]
[41 42],[33 33],58,16,[96 28],[80 83],[[26 76 96 16]; [72 12 62 22]],[[ 14  98  66  40]; [ 52  88 102  60]],[ 58 104  24  88],[70 10 22 58]
[71 58],[ 45 103],28,4,[38 20],[ 9 76],[[52 82 26 66]; [ 8  8 34 12]],[[68 52 98 18]; [84 26 76 28]],[92  0 42 88],[24 82 92 32]
[99 37],[102  74],70,58,[78 23],[12 56],[[36 54 28 20]; [60 60 38 94]],[[66 60 32 20]; [92 56 76 62]],[96 60 50 28],[30 32 54 20]
[  5 101],[50  1],82,94,[74 85],[ 71 104],[[ 32  90  32  48]; [ 32  44 104  76]],[[76 44 56 50]; [52  8 28 32]],[  6  88 104  84],[20 68  2 12]
[2 7],[24 19],56,2,[40 94],[61 49],[[42 74 66 54]; [54 98 28 24]],[[ 96  82  36   6]; [ 44 100  92  36]],[42 24 88 40],[54 54 68 42]
[97 30],[98 91],24,14,[59 10],[91 94],[[ 6 58 46 12]; [64  0 58 80]],[[ 84  42  58  70]; [ 76  58  10 100]],[44 60 50 72],[78 42 30 82]
[21 91],[93  4],80,44,[86 70],[15 36],[[ 8 44 46 58]; [98 62 84 94]],[[ 40  88  14 100]; [102  88  16  72]],[  6 104  78  28],[16 14 38 14]
[55 79],[56 70],64,32,[94  6],[ 3 45],[[58  0 44 52]; [ 8 68 94 76]],[[  0   6  16 104]; [ 74  26  76  92]],[32 38 16 76],[48 48 40 18]
[13 84],[38  5],96,26,[102  90],[92 49],[[ 18  32   8  98]; [ 28   6  14 102]],[[ 8 96 24 82]; [32 18 42 94]],[ 8 30 82 48],[74 94 46 44]
[100  84],[ 6 28],78,82,[29 76],[10  1],[[88 18 44 72]; [16 46 10 66]],[[66 18 80 60]; [38 80 42 26]],[84 86 70  6],[98 50 56 52]
[88 29],[26 88],32,80,[46 67],[93 42],[[ 58 100  34  64]; [ 26  70  34  44]],[[ 22  94 100  74]; [ 40  78  88  32]],[66  2 20 34],[78 54 62 96]
[83 54],[ 8 67],6,58,[53 56],[94 55],[[ 28  26  38 104]; [ 22  68  14  12]],[[82 82  2 10]; [22  6 72 84]],[94 54 90  4],[58  8 66 66]
[75 31],[ 3 41],90,66,[74 86],[24 77],[[ 2 86 10 10]; [12 56 10 30]],[[10 84 32 76]; [92 34 82 22]],[12 48 74 32],[ 90 100  62  46]
[89 67],[104  59],66,22,[37 37],[86 14],[[96 74 34 44]; [20 84 38 72]],[[ 40  18   2  80]; [100  78  22  76]],[74 72 42 74],[88 44  6 64]
[13  8],[36  0],16,4,[70 58],[12 90],[[28 40 64 78]; [20  6 98  4]],[[98 84 72 38]; [76 34 48 12]],[98 34 48 50],[ 18 104  72  18]
[104   7],[41 51],64,72,[10 30],[97 54],[[58 18 86 56]; [82  2 56 80]],[[86 22 50 36]; [30 18 80 40]],[ 0 70 68 84],[100 100  44   2]
[55 10],[ 21 102],16,86,[14 47],[31 45],[[16 42  8 36]; [14 58 14 42]],[[ 0 76 42 94]; [98 90 90 36]],[74 86 18 38],[92 84 50 78]
[36 57],[51 91],36,62,[ 66 104],[55 59],[[88 92 42 58]; [90 18 66 16]],[[ 30 100  64 104]; [ 68  88   6  58]],[16 22 14 86],[26 64 96 40]
[55 47],[97 70],36,50,[23 10],[72 46],[[10  4 62 70]; [10 68 26 40]],[[ 44  44   4 100]; [ 24  84  22 102]],[ 26 104  14  62],[90 60 16 80]
[74  7],[97  8],90,96,[31 64],[32  9],[[76 92 48 22]; [62 38 40 26]],[[  4 102  62  52]; [100  20  28  80]],[88 22 42 12],[50 64 56 22]
[66 68],[84 89],100,16,[15 97],[88 61],[[ 46  28   4 104]; [ 24  88  90  30]],[[ 80  50  12  56]; [104  62   4   4]],[ 86 102  54  18],[54 54 68 80]
[45  6],[51 89],74,62,[68 38],[52 22],[[66 20 88 92]; [16 32 10 68]],[[ 12  90 100  26]; [ 52  74  54  50]],[90 72 22 82],[34 12 76 20]
[85 44],[ 1 11],28,12,[ 7 30],[60  2],[[80 82 60 26]; [72 56 22 78]],[[ 92 102   8  60]; [ 32  86  80  88]],[42 84 24 74],[86 34 10 40]
[102 103],[44  5],72,100,[32 49],[82 25],[[50 40 78 30]; [28 42 34 28]],[[70 78 84 88]; [56 46 58 18]],[102  48 100  60],[ 80 104  34  10]
[58 79],[57 24],46,6,[29 18],[15 11],[[86 26 86 38]; [88 12  8 46]],[[ 86  32  12  62]; [ 32 100  78  50]],[102  26 100  22],[ 24   0  92 100]
[55 75],[89 37],54,100,[100  43],[21 60],[[44 94 76 24]; [ 2  2 40  8]],[[104  58  78  36]; [  4  54  60 104]],[92 54 66 96],[100  38  52  78]
[85 56],[34 13],64,56,[7 0],[94 91],[[104   2  70  70]; [ 98  82  70  60]],[[38 20 30  6]; [10 20 18 30]],[40 84 86 48],[76 70 96 44]
[68 31],[95 82],34,2,[68 93],[72 97],[[54  0 64 28]; [94 50 32 54]],[[ 14  12  58  26]; [104  62  76  34]],[30 90 66 70],[80 12  2 48]
[85  1],[73 17],66,86,[46 45],[31 74],[[20 24 58 62]; [88 90 10 94]],[[ 42  30  24  70]; [102  70  36  42]],[28 78  8 96],[58 52 36 24]
[104  81],[80 54],74,24,[95 99],[91 76],[[ 0 68 82 24]; [64 52 12 80]],[[ 2 20  4 86]; [28 90 36 62]],[ 0 54 56 88],[ 48  44 100  46]
[11  2],[26 71],94,78,[39 46],[90 17],[[ 50  48  32  90]; [104  32  56  34]],[[90 54 44 68]; [76 48 44 98]],[72 24 76 54],[16 10 46 52]
[76 12],[55 60],62,50,[62 84],[33 89],[[12 10 56 10]; [74 60  0 88]],[[ 80 104  50  98]; [ 56  92  22 102]],[38 38 80 24],[42 18 12 20]
[13 83],[92 93],34,74,[93 54],[79 88],[[26 26 86 34]; [56 82 10 10]],[[50 12 68 42]; [64 42 32 68]],[68 36 18 24],[76 70 34 96]
[83 78],[49 62],46,94,[23 29],[ 4 80],[[56 36 40 42]; [38 60 92 70]],[[72 88 84 52]; [ 0 94 84 40]],[ 0 12 66 88],[94 16 90 26]
[17 28],[65  2],40,36,[79 17],[68 95],[[40 32 68  6]; [76 14 40 44]],[[ 78  56  76 102]; [ 80  46  92   4]],[30 48 24 32],[10 92 82 96]
[72 68],[16 15],70,68,[10 85],[51 60],[[70 76 70  4]; [ 0 68 20 78]],[[88  0 96 46]; [88  6 62 94]],[58 46 30 90],[78 18  6  2]
[12 90],[39 98],10,66,[79 57],[28 88],[[98  4 60 42]; [62 12 72 86]],[[ 0 90 38 44]; [30 10 52 42]],[54 54  8 90],[ 0 46 22 90]
[20 40],[101  49],68,88,[23 83],[12  4],[[ 82 104  62  26]; [ 58   0  56  12]],[[64 18 84  2]; [50 78 46 44]],[100  46  66  70],[22 80 18 48]
[96 49],[71 15],100,10,[ 3 42],[62 15],[[12 58 14  0]; [ 6 54 78 36]],[[80 58  2 48]; [36 40 88  4]],[10 66 52 86],[38 90 30 82]
[80 84],[54 92],96,92,[16  2],[70 54],[[ 76  94  60  60]; [ 92 104  10  12]],[[38 34 92  8]; [72 74 28 90]],[18 96 84 82],[56 32 28 40]
[40 76],[31 27],32,38,[64 69],[12 38],[[ 24  86   2 100]; [ 10  82  76  16]],[[  4  24  58  94]; [100  14  96  14]],[78 92 78 42],[58 94 72 98]
[17 68],[46 27],62,102,[97 65],[54 36],[[80 38 44 98]; [44 52 80  2]],[[74 54  4 52]; [20 84 14 98]],[ 6 18 56 10],[26 88 56 34]
[18 41],[70 66],94,14,[95 25],[41 95],[[20 68 42 16]; [84 92 16 28]],[[38 22  8 48]; [32 68 22 76]],[82 10  4 38],[84 52 52  2]
[34 93],[87  7],82,94,[28 56],[68  3],[[12 74  0 78]; [34 98 22 48]],[[18 34 94  0]; [96 40 22 18]],[38 58 20 12],[40 16 48 26]
[80 38],[82 36],70,54,[65 84],[58 99],[[ 0 96  2 16]; [ 0  4 24 48]],[[92 22 54 32]; [14 14 58 38]],[94  0 12  8],[22 40 84 18]
[99  5],[68 66],102,54,[26 77],[34 94],[[  6 102  54  48]; [ 58  52  92  62]],[[18 36 22 36]; [ 6 82 56 32]],[ 6 14 58 80],[50 60 60 10]
[93 38],[63 42],76,94,[83 30],[69 66],[[14 30 52 80]; [78 36 66  0]],[[34 52 78 98]; [50 94 72 20]],[ 2 16 48 64],[58 50 60 94]
[60 26],[48 51],4,54,[74 25],[73 19],[[48 72 56 64]; [42 46 88 96]],[[86 10 48 34]; [56 82 14 64]],[66 64 14  0],[100  76  44  62]
[29 20],[66  3],90,56,[14 32],[77 98],[[  0   0  60  24]; [104   8  32  70]],[[22 22 18 64]; [70 60 18  0]],[38 26 88 58],[ 2 16 80 26]
[45 47],[53 69],24,24,[37 81],[103   3],[[ 78  56 102  52]; [  8  80 104  26]],[[62 62 10 36]; [44 80 80 28]],[  6  90 100  42],[52 26 76 12]
[67 25],[95 80],84,78,[ 2 72],[66 93],[[44  0 42 42]; [14 32 20 54]],[[96 10 58 74]; [34 94 16 14]],[ 76 100  46 100],[90 88 22 88]
[45 64],[35 67],78,68,[48 81],[77 22],[[10 32 90 54]; [14 22 64 32]],[[ 74 100   0  76]; [ 90  70  82  38]],[66 52 78 48],[88 60 32 70]
[ 95 103],[98  8],66,8,[ 4 60],[83 70],[[ 52  32  42   6]; [100  70  14   2]],[[ 90  12  72  70]; [ 62  76 102  74]],[34 24 26  4],[12 16 34 66]
[25 11],[17  7],34,84,[ 5 66],[26 99],[[  6  52 104 102]; [ 80  58 104  30]],[[ 18  66 104  52]; [ 16  50  54  26]],[50 30 10 14],[12 22 82 84]
[18 19],[ 0 49],14,84,[38 52],[ 86 100],[[ 64  10  40  86]; [ 96  18  10 104]],[[60 72 86 64]; [ 6 52 62 18]],[94 50 98 68],[24 58 30 88]
[  9 101],[26 23],26,24,[12 97],[13 38],[[78 58 94 80]; [34 82 74 88]],[[70 96 42 82]; [52 12 32 54]],[18 48 84 40],[92 42 10 28]
[ 6 82],[10 97],42,44,[42 76],[66 39],[[ 84  82  66  14]; [ 92  42  84 100]],[[98 18 32 46]; [52 72 70 96]],[38  2 68  6],[26 14 80 42]
[84 74],[49 11],68,90,[102  60],[ 1 45],[[ 48  28  28  30]; [ 18  90  82 104]],[[52 16 88 26]; [38 68 22 82]],[32 18 72 60],[74 60 74 54]
[100  19],[83 90],56,100,[70 60],[30 97],[[22 22 64 20]; [56 38 92 22]],[[104  34 102  94]; [ 86  70  36  40]],[42 26 98  0],[76 68 82 52]
[ 8 88],[ 44 102],72,92,[23 41],[ 32 102],[[92 78 38 10]; [ 8 12 94 98]],[[40 72 92 60]; [26 64 66 40]],[ 50  94 104  42],[28 92 38 92]
[100  72],[ 20 103],74,54,[38 88],[30 49],[[10 72 64 86]; [34 92 54 82]],[[ 32  40  44 104]; [ 26 102 102  50]],[10 22 78 96],[28 44 16 90]
[46  6],[74 38],6,44,[89 34],[ 4 44],[[70 84 26 62]; [86 50 78 64]],[[16 60 44 36]; [68 14 78  6]],[102   0  28  54],[12 64 22 24]
[ 2 24],[78 73],16,82,[77 12],[100   0],[[80 94  0 98]; [12  6 28 14]],[[50 60  2 16]; [84 10 34 10]],[82 28 26 60],[38 14 34 22]
[98  5],[94 30],86,38,[39 23],[69 91],[[ 0 56 50 74]; [60 54 48 80]],[[ 70 104 104  62]; [  8   8  38  20]],[38  4 68 38],[  2  98 104  20]
[ 35 100],[ 1 23],26,58,[42 41],[32 48],[[52  4 70 18]; [12 96 32 26]],[[84 34 20 82]; [20 46 34 64]],[54 42 84 24],[64  2 96  8]
[57 96],[44 26],62,56,[44 29],[81 10],[[ 16 100  72  46]; [ 60  56  98  26]],[[100  98  38 102]; [ 44  84  98  26]],[44 12 94 64],[32 24 60 70]
[48 91],[48 84],102,4,[74  1],[100  60],[[ 14 100  80  88]; [  6   0  44  62]],[[ 30 100  46  74]; [ 48   2 102  92]],[ 6 74 18  8],[52 16 32 36]
[84 89],[48 65],90,86,[80 93],[69 51],[[ 10   4   6  40]; [ 98  56  82 100]],[[58  2 80  2]; [30  2 14  2]],[ 26  34   0 100],[70  6 86 36]
[40  2],[16 71],82,12,[37 71],[89 71],[[  6  96  42  30]; [ 22   2  34 102]],[[ 84  24  70  26]; [ 36 104  20   6]],[32 64 18 16],[100  14  28  82]
[93 88],[50 88],2,8,[80  2],[39 96],[[36 74  8 48]; [84 84 28 64]],[[80 36 28 60]; [68 38 64 38]],[38 58 70 96],[ 6  2 80 10]
[74 81],[90 42],56,98,[49 26],[61  4],[[100  74  36  26]; [ 66  32  96  16]],[[78 50  8 24]; [94 26 58 20]],[82 60 92 56],[ 10  28  90 102]
[84 69],[11 11],60,42,[66 29],[11 10],[[ 58  74  96  74]; [ 94 102  74  76]],[[66 18 74 26]; [ 4 44 16 70]],[102  30  32  84],[ 34  86 100  84]
[ 6 45],[17 60],68,18,[22 84],[35 82],[[  0  94  58 104]; [ 22  78  98  16]],[[66 58 76  8]; [54 36 14 34]],[ 72  26 102  82],[74 82 76  8]
[53 48],[37 28],26,48,[90 44],[87 76],[[38 66 12 50]; [22 68 84 48]],[[32 70  2  8]; [26 48 26 66]],[12  8 40 96],[42 24 82 20]
[76 88],[  1 102],30,70,[53 39],[74 34],[[82 92 88 12]; [60 30 12 20]],[[104  58  26  88]; [ 74  28  98  86]],[28  6 54 22],[ 8 60 98 58]
[20  9],[29 65],78,46,[53 34],[83 35],[[ 14  76 100  84]; [ 60  58  68   8]],[[86 12 58 54]; [14 84 48 76]],[98 34  8 92],[36 58 26 92]
[14 20],[73 67],80,72,[ 85 102],[ 8 22],[[ 58  88  98  16]; [ 94 102  66  70]],[[ 34   0 102  86]; [ 66  68  44  30]],[ 0 98 24 86],[32 94 92 22]
[14 17],[88 77],74,86,[17 17],[102  81],[[86 86 84 44]; [78  2 80 54]],[[12 58 62 70]; [50 22 64 38]],[ 86 100  10  40],[68 84 54 98]
[67 26],[13 74],34,96,[61 66],[93 98],[[ 20  96 102  30]; [ 70  14  70  80]],[[48 24 32 14]; [12 54 84 32]],[36 10 98 64],[14 36 46 12]
[32 80],[32 57],20,42,[97  3],[97 17],[[86  2 66 68]; [16 50 22 48]],[[64 40  0 68]; [88 36 94 52]],[ 0 64 72 54],[ 6 14  0 24]
[50 64],[102  21],88,58,[94 34],[98  3],[[ 48 100  86  18]; [ 34  58  84  10]],[[ 70  26  92  86]; [102  72  20  62]],[78 30 78  2],[ 0 66 82 12]
[92 98],[73 17],76,88,[41 76],[79 43],[[26 28  6 90]; [50  6 60 58]],[[ 40  90 104  70]; [ 76  26  68  34]],[ 86  64  10 102],[52 24 64 74]
[85 19],[100  28],24,24,[57 78],[ 6 13],[[ 6 96 12 92]; [64 22 86 26]],[[12 84 26 84]; [ 4 30 22 92]],[66 28 54 20],[62 86 98 84]
[97 68],[ 9 12],78,18,[97 27],[46 13],[[90 86 14  4]; [44 76 26 18]],[[ 88  88  46 100]; [ 58  32  12  58]],[72 16 38 62],[96 30 24 98]
[32 46],[16 93],6,58,[97 86],[102   3],[[ 52  26 104   4]; [ 70  74  98  20]],[[26 76 42 44]; [44 90 38 42]],[ 46 100  66 104],[48 42 58 56]
[66 25],[23 62],22,46,[57 57],[18 39],[[ 48  54 102  26]; [ 26  70  24  62]],[[ 8 30 22 60]; [70 40 14 76]],[66  8 46 26],[ 8 38 16 74]
[70 59],[56 67],18,50,[27 34],[50 19],[[68 12 40 26]; [72 28 36 42]],[[46 80 66 86]; [36 94 72 22]],[98 62 18 20],[68 98 68 64]
[97 17],[104  32],2,70,[58 38],[46 19],[[74 56 54 32]; [18 90 54 32]],[[ 50  12  14  14]; [ 24 102   4  62]],[ 82  30 102  98],[ 68 102  86  98]
[4 6],[87 66],52,22,[94 94],[80 90],[[38 98 66 98]; [70  0 80 22]],[[ 46  98  98  20]; [ 40  54 102  32]],[42 90 94 70],[82 90 36 58]
[53 50],[19 65],44,28,[84 79],[102  58],[[50 96 78 16]; [24 94 36 98]],[[38 16 90 14]; [38 56 58 24]],[94 74 80 30],[ 0 48 52 22]
[64 74],[ 72 102],76,98,[33 25],[60 15],[[62  8 78  0]; [24 62 10 54]],[[74 20 12 62]; [68 32 66 26]],[72 12 38 76],[10 66 14 34]
[22 38],[50 57],54,56,[60 94],[94 81],[[18 74 60 54]; [ 2  8 76 46]],[[ 80  92  30  94]; [ 36  42 104  94]],[68 34 66 88],[44 44 92 90]
[ 8 94],[85 60],22,20,[18 45],[35 67],[[ 8 38 86 28]; [38 28 74 86]],[[ 18 102  18  50]; [ 48   8  20  92]],[ 48 102  34 104],[  2  34  36 102]
[35  7],[88 26],20,98,[ 1 33],[10 21],[[ 60 100  28  28]; [ 70  50  86   8]],[[12  2 66 50]; [96 68 84 76]],[94 14 54 84],[48 68 60 38]
[5 7],[87  5],70,22,[79 16],[68 72],[[92 18 34 64]; [24 24 44 92]],[[92  0 10 80]; [86 20 78  6]],[ 4 82 14 36],[ 4 72 68 64]
[81 65],[15 64],76,98,[ 2 92],[76 45],[[100  86  34  86]; [ 94  46  50  46]],[[ 74   2  72  48]; [ 86  44 102 100]],[50 28 94 50],[ 94  74 102  82]
[10 74],[84 92],2,16,[99 99],[17 33],[[96 42 24  2]; [22 46 50 32]],[[58 78 54 76]; [20 72 84 18]],[44 50 76 48],[26 30 14 96]
[ 4 54],[20  5],30,88,[ 54 101],[46 97],[[92 44 82 66]; [98 40 30  0]],[[ 38  80  72  14]; [100  92  16   0]],[96 34 82 98],[26 54 22 20]
[27 64],[39 54],60,78,[ 8 15],[90 34],[[ 60  30  58  62]; [ 40  32  72 102]],[[ 20  50  88  68]; [ 32  18  46 104]],[82 70 34 74],[ 0 96 94 74]
[ 3 77],[32 55],66,58,[22 53],[28 51],[[ 78  34   2   4]; [102  66  80  30]],[[ 56  30  76  34]; [ 60 102  36  94]],[12 48 52 26],[52  0 76 88]
[45 69],[ 7 68],102,10,[83 20],[38 24],[[ 0 70 84 14]; [20 58 64 82]],[[74 86  8 20]; [14 44 86 20]],[38 86 26 60],[ 96  30 104  24]
[57 30],[52 97],4,8,[42 16],[77 23],[[44  0 48 48]; [78  4 64 40]],[[  0  64  52  82]; [ 54  48 104  50]],[42 14 10  0],[26 40 76 52]
[42 47],[17 54],22,56,[14 60],[82 31],[[84 28 62 38]; [26 70  8 14]],[[78 88 26 54]; [76 74 46 74]],[102  48  24  72],[ 4 96 22  4]
[11 99],[79 56],50,62,[33 78],[60 24],[[ 42  10 100  80]; [ 50  90  56  36]],[[12 12 50 64]; [46 84 54 38]],[102  40  38 100],[68 32 64 16]
[60 78],[78 18],44,40,[ 2 51],[38  2],[[24  2 84 34]; [18 90 68 62]],[[60 10 64 60]; [88 12 22 72]],[32  6 48  8],[ 52 100  94  76]
[21 66],[78 90],98,62,[44 97],[16 70],[[ 48  42 102  40]; [  4  54  82  80]],[[ 8 38 42 18]; [48 96 86 22]],[54 52 74 28],[18 28 62 98]
[96  7],[38 93],8,66,[16 37],[90 29],[[ 22  94  56  46]; [ 38  74 104  12]],[[ 82  96  52  42]; [104  46  16  22]],[50 42 18  6],[44 20 54 18]
[68 81],[73 56],54,2,[31 75],[60 70],[[70 16 52  4]; [66 86 22 42]],[[102  62   8  86]; [ 74  14   8  52]],[100  98  76  20],[88 86  8 54]
[ 2 76],[ 4 77],36,44,[60 86],[25 57],[[10 50 26 16]; [10 78 12  6]],[[  8 100  66  54]; [ 60  92  58  70]],[100  42  24  98],[94 78 44 88]
[12 97],[57 95],76,8,[58 31],[88 55],[[ 34  32  34  60]; [104   8 104  14]],[[22  6 26 90]; [10 44 38 98]],[76 98 92 48],[56 90 64 28]
[38  9],[56 62],12,18,[85 85],[68  5],[[ 74  58  60  86]; [ 92  70 104   2]],[[ 38  80  68  82]; [ 38 102 104  56]],[36 42  4  6],[44 44 56  0]
[47 52],[33 89],88,46,[64 41],[73 85],[[26 84 70 52]; [ 0 76 46 58]],[[74 72 76 36]; [86 24 76 46]],[58 52 94  0],[52 96 76  4]
[33  7],[78 40],74,72,[61 37],[ 9 32],[[ 14   6  12  36]; [ 58  30  46 102]],[[64  0 78  4]; [48 12  0 70]],[14 98 94 12],[62 72 76 92]
[16 80],[15 42],44,34,[47 22],[49  7],[[40 38 60 10]; [82 60 74 76]],[[96 46 82 62]; [ 6 64 80 46]],[50 26 56 40],[  8 100  10  10]
[ 60 103],[29 26],56,68,[27  3],[56 81],[[48  8 46 50]; [70 34  4 48]],[[96 54 12 68]; [ 8 28 64 44]],[ 84 104 100  80],[ 0 66 72 56]
[72 52],[99 31],32,48,[35 75],[56 85],[[102 100  92  22]; [ 84  60  48  80]],[[72 54 88 78]; [18  8  8 50]],[ 52 100   8  24],[70 64 92 46]
[88 13],[32 48],62,42,[96 77],[ 3 12],[[ 44  26  86  18]; [ 62  84  96 100]],[[58 40 38 60]; [66 92  4 34]],[94 40 50 82],[ 72  50  48 104]
[99 96],[77 12],78,28,[ 3 32],[70 18],[[36 26 58 44]; [78 72 22 24]],[[60 38 52 82]; [38 10 40 86]],[26 84 60 90],[80 78 96 92]
[68  7],[89 57],52,60,[88  1],[24  6],[[56 98  6 72]; [44 42 28 30]],[[44 74 32 12]; [ 2 38 90 98]],[100  36  10  16],[94 18 30 88]
[88 19],[33 59],48,4,[76 78],[31 21],[[104 104  46  40]; [ 76  46  34  30]],[[40 48 74 92]; [52 54 26 34]],[102  88  74  92],[40 46  0 84]
[ 2 93],[88 44],72,30,[104  93],[ 5 87],[[ 14   0  56  48]; [ 44  56 102  82]],[[84 40 58 92]; [22 50 22 68]],[76 80  6 14],[64 42 68 26]
[64 96],[95 34],8,46,[68 25],[10 70],[[ 88  74   2 100]; [ 98 102  70 100]],[[18 92 70 32]; [ 0 92 46 22]],[102  70  10  14],[12 74  6 52]
[104  46],[63 55],66,60,[67 18],[55 36],[[ 64  26   0  12]; [ 80   0  60 102]],[[92 72 20 96]; [34 52 62 76]],[88 20 70 74],[ 0 28 44 50]
